电影名,评分,卡司,海报
大闹天宫,9.3,"邱岳峰,富润生,毕克",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
指环王1：魔戒再现,9.0,"伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg
两杆大烟枪,9.1,"杰森·弗莱明,德克斯特·弗莱彻,尼克·莫兰",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
美丽心灵,9.0,"罗素·克劳,艾德·哈里斯,詹妮弗·康纳利",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
饮食男女,9.1,"郎雄,杨贵媚,吴倩莲",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
飞越疯人院,9.1,"杰克·尼科尔森,丹尼·德维托,克里斯托弗·洛伊德",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
猫鼠游戏,9.0,"莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
黑客帝国,9.0,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
V字仇杀队,8.9,"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1465235231.jpg
钢琴家,9.2,"艾德里安·布洛迪,托马斯·克莱舒曼,艾米莉娅·福克斯",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg
本杰明·巴顿奇事,8.9,"凯特·布兰切特,布拉德·皮特,朱莉娅·奥蒙德",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
看不见的客人,8.8,"马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
让子弹飞,8.8,"姜文,葛优,周润发",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
西西里的美丽传说,8.9,"莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,Luciano Federico",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
海豚湾,9.3,"Richard O'Barry,路易·西霍尤斯,Hardy Jones",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
小鞋子,9.2,"法拉赫阿米尔·哈什米安,默罕默德·阿米尔·纳吉,巴哈丽·西迪奇",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173580536.jpg
拯救大兵瑞恩,9.0,"汤姆·汉克斯,汤姆·塞兹摩尔,爱德华·伯恩斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
情书,8.9,"中山美穗,丰川悦司,酒井美纪",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p449897379.jpg
穿条纹睡衣的男孩,9.1,"阿萨·巴特菲尔德,维拉·法米加,卡拉·霍根",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
音乐之声,9.0,"朱莉·安德鲁斯,克里斯托弗·普卢默,埃琳诺·帕克",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189265302.jpg
美国往事,9.2,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
绿皮书,8.9,"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
致命魔术,8.9,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
海蒂和爷爷,9.2,"阿努克·斯特芬,布鲁诺·甘茨,昆林·艾格匹",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
低俗小说,8.8,"约翰·特拉沃尔塔,乌玛·瑟曼,阿曼达·普拉莫",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
七宗罪,8.8,"摩根·弗里曼,布拉德·皮特,凯文·史派西",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
沉默的羔羊,8.8,"朱迪·福斯特,安东尼·霍普金斯,斯科特·格伦",https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
